ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersion,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorArea,ProjectTypes,RegistrationDate,UnitOfMeasurement
"1.00E+09",No,Champions Court II,326 S. Martin Luther King Blvd.,Lexington,Kentucky,"40508",United States,v2009,"51",Silver,5/10/2017,Yes,"154661",,6/19/2013,sq ft
"10748277",No,167 Jefferson Street,167 Jefferson Street,Lexington,Kentucky,"40508",United States,v2008,,Certified,1/7/2013,Yes,"3282",,11/17/2011,sq ft
"1.00E+09",No,UK Digital Village (Marksbury Building),329 Rose St,Lexington,Kentucky,"40508",United States,v2009,"69",Gold,8/3/2011,Yes,"45019",,7/22/2009,sq ft
"10305920",No,"One Main Financial, Lexington KY",128 Town Center Dr.,Lexington,Kentucky,"40514",United States,v1.0 pilot,,Certified,9/29/2008,Yes,"1800",,9/25/2008,sq ft
"1.00E+09",No,Woodland Glen IV Residence Hall,703 Sports Center Drive,Lexington,Kentucky,"40508",United States,v2009,"45",Certified,5/30/2017,Yes,"212778",,11/25/2013,sq ft
"1.00E+09",No,Lewis Hall Student Housing,1120 University Drive,Lexington,Kentucky,"40508",United States,v2009,"43",Certified,11/6/2017,Yes,"147520",,5/14/2015,sq ft
"1.00E+09",No,CoP 4th and 5th Floor Fit-up,789 South Limestone Street,Lexington,Kentucky,"40508",United States,v2009,"50",Silver,6/18/2013,Yes,"78612",,7/20/2010,sq ft
"1.00E+09",No,Starbucks Lexington - The Summit,4100 Nicholasville Rd,Lexington,Kentucky,"63080",United States,v2009,"46",Certified,5/16/2018,Yes,"2000",,2/8/2018,sq ft
"10276422",No,Kentucky Eagle Beer,2440 Innovation Dr,Lexington,Kentucky,"40511",United States,v2.2,"30",Certified,12/23/2009,Yes,"188024",,7/31/2008,sq ft
"1.00E+09",No,Woodland Glen III,685 Sports Center Drive,Lexington,Kentucky,"40508",United States,v2009,"43",Certified,8/15/2017,Yes,"282536",,5/14/2015,sq ft
"1.00E+09",No,University Flats Student Housing,1160 University Drive,Lexington,Kentucky,"40508",United States,v2009,"41",Certified,3/7/2018,Yes,"355671",,5/14/2015,sq ft
"1.00E+09",No,LexTran Headquarters Admin Building,200 W. Loudon Street,Lexington,Kentucky,"40508",United States,v2009,"61",Gold,11/6/2017,Yes,"22633",,2/4/2014,sq ft
"1.00E+09",No,1302 Council of State Governments,2760 Research Park Drive,Lexington,Kentucky,"40511",United States,v2009,"51",Silver,12/7/2017,Yes,"25113",,4/15/2013,sq ft
"1.00E+09",No,Lexington SSA,2241 Buena Vista Rd,Lexington,Kentucky,"40505",United States,v2009,"55",Silver,4/2/2013,Yes,"44612",,9/1/2011,sq ft
"1.00E+09",No,University of Kentucky Kroger Field,1540 University Dr.,Lexington,Kentucky,"40506",United States,v2009,"54",Silver,9/27/2017,Yes,"478647",,7/5/2013,sq ft
"1.00E+09",No,Patterson Hall Renovation,120 Keeneland Drive,Lexington,Kentucky,"40526",United States,v2009,"46",Certified,2/7/2017,Yes,"46144",,4/13/2015,sq ft
